name,address,url,restaurant_url,InMichelin,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
DiverXO,"Calle de Padre Damian, 23, 28036 Madrid Spain",https://www.tripadvisor.com/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html#REVIEWS,http://diverxo.com/,1,45,45,40,45,2160,155,20,11,4,10,0.313318372,0.590885555
Martin Berasategui,"Calle de Loidi, 4, 20160 Lasarte-Oria Spain",https://www.tripadvisor.com/Restaurant_Review-g1078423-d948529-Reviews-Martin_Berasategui-Lasarte_Oria_Province_of_Guipuzcoa_Basque_Country.html#REVIEWS,http://www.martinberasategui.com/,1,50,50,45,45,1922,622,49,13,5,5,,
Arzak,"Avenida Alcalde Jose Elosegui, 273, 20015 San Sebastian - Donostia Spain",https://www.tripadvisor.com/Restaurant_Review-g187457-d805520-Reviews-Arzak-San_Sebastian_Donostia_Province_of_Guipuzcoa_Basque_Country.html#REVIEWS,http://www.arzak.es/,1,45,45,40,45,3293,1146,192,114,45,17,0.45185741,0.626610458
El Celler de Can Roca,"Calle Can Sunyer, 48, 17007 Girona Spain",https://www.tripadvisor.com/Restaurant_Review-g187499-d996088-Reviews-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html#REVIEWS,http://cellercanroca.com/index.htm,1,50,50,45,45,3220,771,50,26,14,9,0.380911738,0.61420291
Cenador de Amós,"Plaza del Sol, s/n Villaverde de Pontones, 39793 Villaverde de Pontones Spain",https://www.tripadvisor.com/Restaurant_Review-g5562707-d1752010-Reviews-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html#REVIEWS,http://www.cenadordeamos.com/,1,45,45,40,45,559,20,1,1,0,0,0.29939018,0.57995411
Arzak,"Avenida Alcalde Jose Elosegui, 273, 20015 San Sebastian - Donostia Spain",https://www.tripadvisor.com/Restaurant_Review-g187457-d805520-Reviews-Arzak-San_Sebastian_Donostia_Province_of_Guipuzcoa_Basque_Country.html#REVIEWS,http://www.arzak.es/,1,45,45,40,45,3293,1146,192,114,45,17,0.45185741,0.626610458
L'Atelier de Joel Robuchon,"15 Queen's Road Central, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d809453-Reviews-L_Atelier_de_Joel_Robuchon-Hong_Kong.html#REVIEWS,http://www.robuchon.hk/,1,45,45,40,45,840,377,145,55,25,16,0.239495729,0.49133353
Kadowaki,"2-7-2 1F Villanca Azabu, Azabujuban, Minato 106-0045 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14129734-d6516221-Reviews-Kadowaki-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://azabukadowaki.com/,1,45,40,30,,30,11,5,2,1,1,0.164536916,0.536403643
Ta Vie,"74 Queen's Road Central, Central 2/F, The Pottinger, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d8353570-Reviews-Ta_Vie-Hong_Kong.html#REVIEWS,http://tavie.com.hk/,1,45,45,40,,73,42,11,7,0,3,0.285261528,0.578209789
Ishikawa,"5-37 Kagurazaka 1F Takamura Bldg., Shinjuku 162-0825 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g1066457-d1683842-Reviews-Ishikawa-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://www.kagurazaka-ishikawa.co.jp/,1,50,50,45,45,131,65,6,2,3,1,0.270341142,0.563666498
Sushi Yoshitake,"7-8-13 Brown Place 9F, Ginza, Chuo 104-0061 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14129573-d4418384-Reviews-Sushi_Yoshitake-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://sushi-yoshitake.com/index.html,1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
Sazenka,"4-7-5 Minamiazabu, Minato 106-0047 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g1066451-d12551447-Reviews-Sazenka-Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://sazenka.com/,1,50,45,45,,12,1,0,0,0,0,,
L'Atelier De Joël Robuchon Saint-Germain,"5 rue Montalembert Hotel Pont Royal, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718134-Reviews-L_Atelier_De_Joel_Robuchon_Saint_Germain-Paris_Ile_de_France.html#REVIEWS,http://atelier-robuchon-saint-germain.com/,1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
Kanda,"3-6-34 Motoazabu Calm Motoazabu 1F, Minato 106-0046 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g1066451-d1174474-Reviews-Kanda-Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://nihonryori-kanda.com/restaurant/,1,45,45,40,45,60,36,4,2,1,0,0.272852255,0.561717327
Makimura,"6-19-10 Minamioi, Shinagawa Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g1066854-d1684098-Reviews-Makimura-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,,1,50,50,50,,14,1,0,0,0,0,,
Osteria Francescana,"Via Stella 22, 41121, Modena Italy",https://www.tripadvisor.com/Restaurant_Review-g187803-d1160010-Reviews-Osteria_Francescana-Modena_Province_of_Modena_Emilia_Romagna.html#REVIEWS,http://www.osteriafrancescana.it/,1,45,45,40,40,2689,629,120,76,37,41,,
Ristorante Reale,"Piana Santa Liberata, 67031 Castel di Sangro Italy",https://www.tripadvisor.com/Restaurant_Review-g644239-d1144607-Reviews-Ristorante_Reale-Castel_di_Sangro_Province_of_L_Aquila_Abruzzo.html#REVIEWS,http://www.nikoromito.com/reale/,1,45,45,40,45,733,31,4,2,2,5,0.28357359,0.586587175
La Pergola,"Via Alberto Cadlolo 101 Rome Cavalieri, Waldorf Astoria Hotels & Resorts, 00136 Rome Italy",https://www.tripadvisor.com/Restaurant_Review-g187791-d806462-Reviews-La_Pergola-Rome_Lazio.html#REVIEWS,http://waldorfastoria3.hilton.com/en/hotels/italy/rome-cavalieri-waldorf-astoria-hotels-and-resorts-ROMHIWA/amenities/restaurants-la-pergola.html,1,45,45,40,45,2645,709,138,64,30,15,0.381326247,0.615567494
Ristorante Villa Crespi,"Via G. Fava, 18, 28016 Orta San Giulio Italy",https://www.tripadvisor.com/Restaurant_Review-g187854-d1060675-Reviews-Ristorante_Villa_Crespi-Orta_San_Giulio_Province_of_Novara_Piedmont.html#REVIEWS,https://www.villacrespi.it/ristorante-antonino-cannavacciuolo-villa-crespi/,1,50,50,45,50,4777,125,26,12,5,3,0.369183153,0.621224894
Dal Pescatore,"Localita Runate, 15 Riserva del Parco Oglio Sud, 46013 Canneto sull'Oglio Italy",https://www.tripadvisor.com/Restaurant_Review-g1238427-d799437-Reviews-Dal_Pescatore-Canneto_sull_Oglio_Province_of_Mantua_Lombardy.html#REVIEWS,http://www.dalpescatore.com/,1,45,45,40,45,912,65,4,2,1,0,0.321056575,0.58576877
Da O' Vittorio,"Via Roma 160, 16036 Recco Italy",https://www.tripadvisor.com/Restaurant_Review-g1137833-d1898908-Reviews-Da_O_Vittorio-Recco_Italian_Riviera_Liguria.html#REVIEWS,http://www.daovittorio.it/,1,40,40,35,40,1906,51,22,4,1,0,,
Ristorante Uliassi,"Via Banchina di Levante 6, 60019, Senigallia Italy",https://www.tripadvisor.com/Restaurant_Review-g194914-d1100666-Reviews-Ristorante_Uliassi-Senigallia_Province_of_Ancona_Marche.html#REVIEWS,http://www.uliassi.it/,1,50,45,45,45,1717,74,5,3,1,1,0.286133219,0.565892129
Il Luogo di Aimo e Nadia,"Via Raimondo Montecuccoli 6, 20147 Milan Italy",https://www.tripadvisor.com/Restaurant_Review-g187849-d696596-Reviews-Il_Luogo_di_Aimo_e_Nadia-Milan_Lombardy.html#REVIEWS,http://www.aimoenadia.com/,1,45,45,35,40,1191,178,45,26,11,6,0.380010092,0.637602514
Ristorante Enrico Bartolini,"Via Tortona 56 Museo delle Culture, 20144 Milan Italy",https://www.tripadvisor.com/Restaurant_Review-g187849-d12432575-Reviews-Ristorante_Enrico_Bartolini-Milan_Lombardy.html#REVIEWS,http://www.enricobartolini.net/i-ristoranti/mudec,1,45,45,40,,381,29,1,4,3,2,0.302094326,0.615997701
Restaurant de l’Hotel de Ville Crissier,"rue d' Yverdon 1, Crissier, Lausanne 1023 Switzerland",https://www.tripadvisor.com/Restaurant_Review-g947015-d1015180-Reviews-Restaurant_de_l_Hotel_de_Ville_Crissier-Crissier_Lausanne_Canton_of_Vaud.html#REVIEWS,http://www.restaurantcrissier.com/,1,50,45,45,45,880,170,20,7,2,1,0.301420798,0.604042045
Materia,"Via Cinque Giornate 32, 22012 Cernobbio Italy",https://www.tripadvisor.com/Restaurant_Review-g194728-d11662437-Reviews-Materia-Cernobbio_Lake_Como_Lombardy.html#REVIEWS,http://www.ristorantemateria.it/,1,45,45,45,,533,78,8,3,4,3,0.345717156,0.636518944
Auberge du Cheval Blanc,"4 rue de Wissembourg, 67510 Lembach France",https://www.tripadvisor.com/Restaurant_Review-g424982-d2092740-Reviews-Auberge_du_Cheval_Blanc-Lembach_Bas_Rhin_Grand_Est.html#REVIEWS,http://www.au-cheval-blanc.fr/fr/,1,50,45,45,45,552,20,6,0,0,1,,
Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
Per Se,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html#REVIEWS,http://www.perseny.com/,1,45,50,40,45,1869,1193,220,105,49,21,0.295940691,0.593530976
Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html#REVIEWS,http://www.le-bernardin.com/,1,45,45,40,45,3594,2222,412,203,58,46,0.339978529,0.596733369
Masa,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425593-Reviews-Masa-New_York_City_New_York.html#REVIEWS,http://www.masanyc.com/#masa-takayama,1,45,40,30,40,293,121,31,24,20,18,0.239941818,0.646535316
Eleven Madison Park,"11 Madison Ave, New York City, NY 10010-3643",https://www.tripadvisor.com/Restaurant_Review-g60763-d479020-Reviews-Eleven_Madison_Park-New_York_City_New_York.html#REVIEWS,http://www.elevenmadisonpark.com/,1,45,45,40,45,2679,1583,280,196,83,76,0.254383568,0.59450122
Kashiwaya,"2-5-18 Senriyama Nishi, Suita 565-0851 Osaka Prefecture",https://www.tripadvisor.com/Restaurant_Review-g1023474-d9621651-Reviews-Kashiwaya-Suita_Osaka_Prefecture_Kinki.html#REVIEWS,http://jp-kashiwaya.com/,1,50,50,45,,30,14,2,3,1,0,0.289748065,0.596911415
Bottiglieria 1881,"ul. Bochenska 5 LU 1, Krakow 31-061 Poland",https://www.tripadvisor.com/Restaurant_Review-g274772-d6027764-Reviews-Bottiglieria_1881-Krakow_Lesser_Poland_Province_Southern_Poland.html#REVIEWS,http://www.1881.com.pl/#bottiglieria,1,50,45,45,45,345,141,19,6,5,4,,
Kichisen,"5 Shimogamo Morimotocho, Sakyo-Ku, Kyoto 606-0805 Kyoto Prefecture",https://www.tripadvisor.com/Restaurant_Review-g298564-d2487340-Reviews-Kichisen-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,http://www.kichisen-kyoto.com/,1,45,40,35,40,104,42,12,5,4,12,0.228709606,0.530468815
Gion Sasaki,"566-27 Yasakadori, Yamatoji, Higashiiri, Komatsucho, Higashiyama-Ku, Kyoto 605-0811 Kyoto Prefecture",https://www.tripadvisor.com/Restaurant_Review-g298564-d7906557-Reviews-Gion_Sasaki-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,http://gionsasaki.com/index.html,1,50,45,45,,34,9,1,0,0,0,,
Hajime,"1-9-11 Edobori, Nishi-Ku 1f, Osaka 550-0002 Osaka Prefecture",https://www.tripadvisor.com/Restaurant_Review-g298566-d2195848-Reviews-Hajime-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,http://www.hajime-artistes.com/,1,45,45,40,40,95,36,5,4,2,2,0.266277903,0.603138702
Taian,"1-21-2 Shimanochi Sanbonmatsu Bldg. 1F, Chuo, Osaka 542-0082 Osaka Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14127623-d6047344-Reviews-Taian-Chuo_Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,http://www.facebook.com/takahatahitoshi/,1,45,45,40,45,51,15,5,7,3,1,0.176240033,0.498880288
Kikunoi,"459 Shimokawaracho, Higashiyama-Ku, Kyoto 605-0825 Kyoto Prefecture",https://www.tripadvisor.com/Restaurant_Review-g298564-d1663413-Reviews-Kikunoi-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,,1,45,45,40,45,300,99,16,19,9,8,0.211974795,0.571417183
Inn at Little Washington,"309 Main St Middle and Main Streets, Washington, VA 22747",https://www.tripadvisor.com/Restaurant_Review-g58290-d497947-Reviews-Inn_at_Little_Washington-Washington_Rappahannock_County_Virginia.html#REVIEWS,http://www.theinnatlittlewashington.com/restaurant.shtml,1,50,45,40,45,945,770,89,49,19,9,0.293989317,0.576635901
DiverXO,"Calle de Padre Damian, 23, 28036 Madrid Spain",https://www.tripadvisor.com/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html#REVIEWS,http://diverxo.com/,1,45,45,40,45,2160,155,20,11,4,10,0.313318372,0.590885555
Restaurant Milka,"Vrsiska cesta 45, Kranjska Gora 4280 Slovenia",https://www.tripadvisor.com/Restaurant_Review-g274870-d1238331-Reviews-Restaurant_Milka-Kranjska_Gora_Upper_Carniola_Region.html#REVIEWS,http://www.hotelmilka.si/restaurant,1,45,45,45,40,517,305,24,5,7,8,0.396500662,0.575875101
Stand Restaurant,"Szekely Mihaly ucta 2., Budapest 1061 Hungary",https://www.tripadvisor.com/Restaurant_Review-g274887-d14788844-Reviews-Stand_Restaurant-Budapest_Central_Hungary.html#REVIEWS,https://standrestaurant.hu/en,1,50,50,45,50,321,196,9,1,0,0,,
Platán Gourmet Restaurant,"Kastely Ter 6, Tata 2890 Hungary",https://www.tripadvisor.com/Restaurant_Review-g274917-d1524386-Reviews-Platan_Bisztro-Tata_Komarom_Esztergom_County_Central_Transdanubia.html#REVIEWS,https://platantata.hu/gourmet-etterem/,1,45,45,45,45,318,81,28,6,2,3,0.371802252,0.626309012
Yu ZhiLan,"No.24 Changfa Street, Qingyang District, Chengdu China",https://www.tripadvisor.com/Restaurant_Review-g297463-d7211656-Reviews-Yu_ZhiLan-Chengdu_Sichuan.html#REVIEWS,http://www.ft.com/content/20f3d64e-27f5-11e4-ae44-00144feabdc0,1,45,40,40,,13,4,3,0,1,1,,
El Molino de Urdániz,"C San Miguel S/N0, 31698 Urdaniz Spain",https://www.tripadvisor.com/Restaurant_Review-g6412760-d3584780-Reviews-El_Molino_de_Urdaniz-Urdaniz_Navarra.html#REVIEWS,http://www.elmolinourdaniz.com/,1,45,40,40,35,267,15,2,0,0,0,,
L'Atelier De Joël Robuchon Saint-Germain,"5 rue Montalembert Hotel Pont Royal, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718134-Reviews-L_Atelier_De_Joel_Robuchon_Saint_Germain-Paris_Ile_de_France.html#REVIEWS,http://atelier-robuchon-saint-germain.com/,1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
Le Séjour Café,"11 rue Grimaldi Plein Carre d'OR, 06000 Nice France",https://www.tripadvisor.com/Restaurant_Review-g187234-d3255993-Reviews-Le_Sejour_Cafe-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.sejourcafe.com/,1,45,50,45,45,1813,632,103,21,7,3,0.421209454,0.635637009
Raw,"301 Le Qun 3rd Rd, Zhongshan District, Taipei Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13808671-d8668927-Reviews-Raw-Zhongshan_District_Taipei.html#REVIEWS,http://www.raw.com.tw/,1,45,45,40,,199,57,12,5,3,9,0.251032084,0.60710918
Seta,"Via Andegari 9 Mandarin Oriental Milan, 20121 Milan Italy",https://www.tripadvisor.com/Restaurant_Review-g187849-d8515519-Reviews-Seta-Milan_Lombardy.html#REVIEWS,https://www.mandarinoriental.com/en/milan/la-scala/dine/seta?src=loc.local_listing.momln.yxt,1,45,45,40,,1085,186,37,8,4,5,0.365602418,0.676061139
Melisse,"1104 Wilshire Blvd, Santa Monica, CA 90401-2012",https://www.tripadvisor.com/Restaurant_Review-g33052-d350116-Reviews-Melisse-Santa_Monica_California.html#REVIEWS,http://www.melisse.com/,1,45,45,35,45,325,198,48,23,16,10,0.298889395,0.583224886
Acquerello,"1722 Sacramento St, San Francisco, CA 94109-3619",https://www.tripadvisor.com/Restaurant_Review-g60713-d370438-Reviews-Acquerello-San_Francisco_California.html#REVIEWS,http://www.acquerellosf.com/,1,45,50,45,45,361,264,38,16,12,8,0.360104513,0.626473564
Providence,"5955 Melrose Ave, Los Angeles, CA 90038-3623",https://www.tripadvisor.com/Restaurant_Review-g32655-d594024-Reviews-Providence-Los_Angeles_California.html#REVIEWS,http://www.providencela.com/,1,45,45,40,40,805,553,110,46,18,7,,
The Butchers Arms,"Lime Street, Eldersfield GL19 4NX England",https://www.tripadvisor.com/Restaurant_Review-g3205114-d2012311-Reviews-The_Butchers_Arms-Eldersfield_Malvern_Hills_Worcestershire_England.html#REVIEWS,http://thebutchersarms.net/,1,50,45,45,45,482,412,40,16,5,9,0.356179871,0.595195409
Le Manoir aux Quat'Saisons Restaurant,"Church Road, Great Milton OX44 7PD England",https://www.tripadvisor.com/Restaurant_Review-g1096521-d752551-Reviews-Le_Manoir_aux_Quat_Saisons_Restaurant-Great_Milton_Oxfordshire_England.html#REVIEWS,http://www.belmond.com/le-manoir-aux-quat-saisons-oxfordshire/,1,50,50,40,45,2668,2190,239,118,39,17,0.413252454,0.665279154
Lazy Bear,"3416 19th St, San Francisco, CA 94110-1727",https://www.tripadvisor.com/Restaurant_Review-g60713-d4814980-Reviews-Lazy_Bear-San_Francisco_California.html#REVIEWS,http://www.lazybearsf.com/,1,45,45,40,45,108,74,21,5,4,1,0.2458893,0.559734822
Californios,"3115 22nd St, San Francisco, CA 94110-3218",https://www.tripadvisor.com/Restaurant_Review-g60713-d7349813-Reviews-Californios-San_Francisco_California.html#REVIEWS,http://www.californiossf.com/,1,45,50,40,,54,41,8,1,2,1,0.305098973,0.560655129
Melisse,"1104 Wilshire Blvd, Santa Monica, CA 90401-2012",https://www.tripadvisor.com/Restaurant_Review-g33052-d350116-Reviews-Melisse-Santa_Monica_California.html#REVIEWS,http://www.melisse.com/,1,45,45,35,45,325,198,48,23,16,10,0.298889395,0.583224886
Min Jiang at Dempsey,"7A Dempsey Road, Singapore 249684 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d794026-Reviews-Min_Jiang_at_Dempsey-Singapore.html#REVIEWS,http://www.goodwoodparkhotel.com/dining/min-jiang-dempsey,1,45,40,35,40,290,105,86,40,10,11,0.30403288,0.540156635
Imperial Treasure Fine Teochew Cuisine,"ION Orchard, #03-05 2 Orchard Turn, Singapore 238801 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1986222-Reviews-Imperial_Treasure_Fine_Teochew_Cuisine-Singapore.html#REVIEWS,http://www.imperialtreasure.com/,1,45,40,40,35,183,60,71,22,2,6,,
Sir Elly's Restaurant,"No 32 The Bund, 32 Zhongshan Dong Yi Road The Peninsula Shanghai, Shanghai 200002 China",https://www.tripadvisor.com/Restaurant_Review-g308272-d11954919-Reviews-Sir_Elly_s_Restaurant-Shanghai.html#REVIEWS,http://www.peninsula.com/en/shanghai/hotel-fine-dining/sir-ellys-restaurant,1,45,45,40,,80,42,10,5,3,1,0.411935838,0.591160481
Odette,"1 St. Andrew's Road #01-04 National Gallery Singapore National Gallery Singapore, Singapore 178957 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d8800546-Reviews-Odette-Singapore.html#REVIEWS,http://www.odetterestaurant.com/,1,45,45,40,,482,318,57,30,12,8,0.313207725,0.574493189
Thevar,"9 Keong Saik Road, Singapore 089117 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d15306286-Reviews-Thevar-Singapore.html#REVIEWS,http://thevar.sg/,1,45,45,40,40,155,100,29,11,5,6,0.460365731,0.647524305
JAAN by Kirk Westaway,"2 Stamford Road Level 70, Swissotel The Stamford, Singapore 178882 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d807776-Reviews-JAAN_by_Kirk_Westaway-Singapore.html#REVIEWS,http://www.jaan.sg/?utm_source=tripadvisor&utm_medium=referral&utm_content=text-website&utm_campaign=listing,1,45,45,40,45,780,450,122,54,21,16,0.506606299,0.645704144
Sushi Yoshitake,"7-8-13 Brown Place 9F, Ginza, Chuo 104-0061 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14129573-d4418384-Reviews-Sushi_Yoshitake-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://sushi-yoshitake.com/index.html,1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
Le Clos Saint Pierre,"1 Place de la Mairie Quartier St Pons, 06650 Le Rouret France",https://www.tripadvisor.com/Restaurant_Review-g1104886-d1172092-Reviews-Le_Clos_Saint_Pierre-Le_Rouret_Alpes_Maritimes_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.hotel-du-clos.com/le-clos-saint-pierre/,1,45,45,40,40,446,112,19,10,4,1,0.381140734,0.595726675
Soelleroed Kro,"Soelleroedvej 35, Copenhagen 2840 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d803888-Reviews-Soelleroed_Kro-Copenhagen_Zealand.html#REVIEWS,http://www.soelleroed-kro.dk/en/,1,50,50,45,50,397,144,28,6,1,0,0.418595527,0.597949777
Alchemist,"Refshalevej 173c, Copenhagen 1432 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d8547060-Reviews-Alchemist-Copenhagen_Zealand.html#REVIEWS,http://www.alchemist.dk/,1,50,50,45,,153,89,2,0,1,1,0.302954335,0.65964742
RE- NAA,"Nordbogata 8, Stavanger 4006 Norway",https://www.tripadvisor.com/Restaurant_Review-g190511-d1600292-Reviews-RE_NAA-Stavanger_Stavanger_Municipality_Rogaland_Western_Norway.html#REVIEWS,http://www.restaurantrenaa.no/renaa/,1,45,45,40,40,355,128,38,7,2,1,,
Aloe,"52 Svartloesavaegen Langbro, Stockholm 125 33 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189852-d8323859-Reviews-Aloe-Stockholm.html#REVIEWS,http://aloerestaurant.se/,1,50,50,50,,173,33,3,3,1,1,0.2925136,0.572479614
Aira,"Biskopsvagen 9, Stockholm 11521 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189852-d20378978-Reviews-Aira-Stockholm.html#REVIEWS,http://aira.se/,1,50,50,50,,54,17,1,1,0,0,,
Bloom in the park,"17 Pildammsvaegen, Malmo 214 66 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189839-d4367015-Reviews-Bloom_in_the_park-Malmo_Skane_County.html#REVIEWS,http://bloominthepark.se/,1,45,40,40,40,440,128,26,11,17,18,0.249444081,0.574138985
Rolfs Koek,"41 Tegnergatan, Stockholm 111 61 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189852-d776475-Reviews-Rolfs_Koek-Stockholm.html#REVIEWS,http://www.rolfskok.se/?lang=en,1,45,45,40,45,1364,402,193,40,15,5,,
Geranium,"Per Henrik Lings Alle 4, 8., Copenhagen Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d1945657-Reviews-Geranium-Copenhagen_Zealand.html#REVIEWS,http://www.geranium.dk/,1,50,45,45,45,1157,611,67,30,18,7,0.391870604,0.633432224
Restaurant Frederikshoj,"Oddervej 19/21, Aarhus 8000 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189530-d788046-Reviews-Restaurant_Frederikshoj-Aarhus_East_Jutland_Jutland.html#REVIEWS,http://frederikshoj.com/en/home/,1,50,50,45,45,307,77,8,1,2,0,0.375709447,0.523179101
Kiin Kiin,"Guldbergsgade 21, Copenhagen 2200 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d758272-Reviews-Kiin_Kiin-Copenhagen_Zealand.html#REVIEWS,http://www.kiin.dk/,1,45,45,40,45,894,381,74,22,24,22,0.193529621,0.553206503
Kong Hans Kaelder,"Vingaardstraede 6, Copenhagen 1070 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d802245-Reviews-Kong_Hans_Kaelder-Copenhagen_Zealand.html#REVIEWS,http://www.konghans.dk/,1,45,45,40,45,325,141,34,12,6,2,0.173612016,0.480427295
180 Degrees Restaurant,"Staapli 4 Noblessneri sadam, Tallinn 10415 Estonia",https://www.tripadvisor.com/Restaurant_Review-g274958-d14914457-Reviews-180_Degrees_Restaurant-Tallinn_Harju_County.html#REVIEWS,http://www.180degrees.ee/,1,50,45,45,45,151,108,4,9,3,2,0.392547746,0.623454278
Trèsind Dubai,"Arabian Court One&Only Royal Mirage, Dubai Marina, Dubai United Arab Emirates",https://www.tripadvisor.com/Restaurant_Review-g295424-d7257524-Reviews-Tresind_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,http://tresind.com/dubai,1,45,45,40,45,874,615,156,36,18,17,0.367668104,0.624569054
IL RISTORANTE - NIKO ROMITO,"Building 2 Courtyard No. 8 Xinyuan South Road, Chaoyang District 1/F, The Bulgari Hotel Beijing, Beijing 100027 China",https://www.tripadvisor.com/Restaurant_Review-g294212-d12906624-Reviews-IL_RISTORANTE_NIKO_ROMITO-Beijing.html#REVIEWS,https://www.bulgarihotels.com/en_US/beijing/bar-and-restaurant/il-ristorante-niko-romito,1,50,50,45,,507,62,8,1,3,1,,
Alleno Paris,"8 avenue Dutuit Champs-Elysees, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d7205470-Reviews-Alleno_Paris-Paris_Ile_de_France.html#REVIEWS,http://www.yannick-alleno.com/fr/restaurants-reservation/restaurant-3-etoiles-paris.html,1,45,45,40,45,866,183,26,26,14,14,0.34696601,0.61692442
Akordu,"70-1-3-1 Suimoncho, Nara 630-8208 Nara Prefecture",https://www.tripadvisor.com/Restaurant_Review-g298198-d11924476-Reviews-Akordu-Nara_Nara_Prefecture_Kinki.html#REVIEWS,http://akordu.com/,1,50,50,45,,13,1,0,0,0,0,,
L'Atelier De Joël Robuchon Saint-Germain,"5 rue Montalembert Hotel Pont Royal, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718134-Reviews-L_Atelier_De_Joel_Robuchon_Saint_Germain-Paris_Ile_de_France.html#REVIEWS,http://atelier-robuchon-saint-germain.com/,1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
Octavium Italian Restaurant,"22 Des Voeux Road Central, Central 8/F, One Chinachem Central,, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d13421362-Reviews-Octavium_Italian_Restaurant-Hong_Kong.html#REVIEWS,http://www.octavium.com.hk/about,1,45,45,40,,61,27,12,5,4,3,0.199631648,0.506403283
